ts,iso,port,address,kind,name,value,unit,extra,usertag
1765372871.885,2025-12-10 14:21:11,/dev/ttyUSB0,4,setpoint,fSetpoint,36.8,,,CO2
1765372871.885,2025-12-10 14:21:11,/dev/ttyUSB0,4,setpoint,fSetpoint_raw,50.0,,,CO2
1765372884.034,2025-12-10 14:21:24,/dev/ttyUSB0,4,setpoint,fSetpoint,55.1,,,CO2
1765372884.035,2025-12-10 14:21:24,/dev/ttyUSB0,4,setpoint,fSetpoint_raw,75.0,,,CO2
1765372894.329,2025-12-10 14:21:34,/dev/ttyUSB0,4,setpoint,fSetpoint,55.1,,,CO2
1765372894.342,2025-12-10 14:21:34,/dev/ttyUSB0,4,setpoint,fSetpoint_raw,75.0,,,CO2
1765372898.373,2025-12-10 14:21:38,/dev/ttyUSB0,4,setpoint,fSetpoint,55.1,,,CO2
1765372898.373,2025-12-10 14:21:38,/dev/ttyUSB0,4,setpoint,fSetpoint_raw,75.0,,,CO2
1765373149.673,2025-12-10 14:25:49,/dev/ttyUSB0,4,measure,fMeasure,50.09962,,209 samples,CO2
1765373149.673,2025-12-10 14:25:49,/dev/ttyUSB0,4,measure,fMeasure_raw,68.16274,,209 samples,CO2
1765373449.868,2025-12-10 14:30:49,/dev/ttyUSB0,4,measure,fMeasure,54.61750,,239 samples,CO2
1765373449.868,2025-12-10 14:30:49,/dev/ttyUSB0,4,measure,fMeasure_raw,74.30953,,239 samples,CO2
1765374303.268,2025-12-10 14:45:03,/dev/ttyUSB0,4,measure,fMeasure,54.48701,,224 samples,CO2
1765374303.268,2025-12-10 14:45:03,/dev/ttyUSB0,4,measure,fMeasure_raw,74.13199,,224 samples,CO2
1765374603.469,2025-12-10 14:50:03,/dev/ttyUSB0,4,measure,fMeasure,54.65426,,224 samples,CO2
1765374603.469,2025-12-10 14:50:03,/dev/ttyUSB0,4,measure,fMeasure_raw,74.35953,,224 samples,CO2
1765374903.667,2025-12-10 14:55:03,/dev/ttyUSB0,4,measure,fMeasure,54.63655,,193 samples,CO2
1765374903.667,2025-12-10 14:55:03,/dev/ttyUSB0,4,measure,fMeasure_raw,74.33544,,193 samples,CO2
1765375203.867,2025-12-10 15:00:03,/dev/ttyUSB0,4,measure,fMeasure,54.20846,,232 samples,CO2
1765375203.867,2025-12-10 15:00:03,/dev/ttyUSB0,4,measure,fMeasure_raw,73.75301,,232 samples,CO2
1765375504.067,2025-12-10 15:05:04,/dev/ttyUSB0,4,measure,fMeasure,54.60317,,227 samples,CO2
1765375504.067,2025-12-10 15:05:04,/dev/ttyUSB0,4,measure,fMeasure_raw,74.29003,,227 samples,CO2
1765375804.267,2025-12-10 15:10:04,/dev/ttyUSB0,4,measure,fMeasure,54.32713,,218 samples,CO2
1765375804.267,2025-12-10 15:10:04,/dev/ttyUSB0,4,measure,fMeasure_raw,73.91447,,218 samples,CO2
1765376104.466,2025-12-10 15:15:04,/dev/ttyUSB0,4,measure,fMeasure,54.57828,,203 samples,CO2
1765376104.466,2025-12-10 15:15:04,/dev/ttyUSB0,4,measure,fMeasure_raw,74.25616,,203 samples,CO2
1765376404.467,2025-12-10 15:20:04,/dev/ttyUSB0,4,measure,fMeasure,54.12996,,202 samples,CO2
1765376404.467,2025-12-10 15:20:04,/dev/ttyUSB0,4,measure,fMeasure_raw,73.64621,,202 samples,CO2
1765376704.467,2025-12-10 15:25:04,/dev/ttyUSB0,4,measure,fMeasure,53.96870,,203 samples,CO2
1765376704.467,2025-12-10 15:25:04,/dev/ttyUSB0,4,measure,fMeasure_raw,73.42680,,203 samples,CO2
1765377004.666,2025-12-10 15:30:04,/dev/ttyUSB0,4,measure,fMeasure,54.31193,,225 samples,CO2
1765377004.666,2025-12-10 15:30:04,/dev/ttyUSB0,4,measure,fMeasure_raw,73.89378,,225 samples,CO2
1765377304.667,2025-12-10 15:35:04,/dev/ttyUSB0,4,measure,fMeasure,54.11400,,234 samples,CO2
1765377304.667,2025-12-10 15:35:04,/dev/ttyUSB0,4,measure,fMeasure_raw,73.62449,,234 samples,CO2
1765377604.667,2025-12-10 15:40:04,/dev/ttyUSB0,4,measure,fMeasure,54.87437,,203 samples,CO2
1765377604.667,2025-12-10 15:40:04,/dev/ttyUSB0,4,measure,fMeasure_raw,74.65901,,203 samples,CO2
1765377904.668,2025-12-10 15:45:04,/dev/ttyUSB0,4,measure,fMeasure,54.47968,,210 samples,CO2
1765377904.668,2025-12-10 15:45:04,/dev/ttyUSB0,4,measure,fMeasure_raw,74.12201,,210 samples,CO2
1765378204.866,2025-12-10 15:50:04,/dev/ttyUSB0,4,measure,fMeasure,53.80974,,214 samples,CO2
1765378204.866,2025-12-10 15:50:04,/dev/ttyUSB0,4,measure,fMeasure_raw,73.21053,,214 samples,CO2
1765378504.867,2025-12-10 15:55:04,/dev/ttyUSB0,4,measure,fMeasure,54.40343,,233 samples,CO2
1765378504.867,2025-12-10 15:55:04,/dev/ttyUSB0,4,measure,fMeasure_raw,74.01828,,233 samples,CO2
1765378805.066,2025-12-10 16:00:05,/dev/ttyUSB0,4,measure,fMeasure,54.09634,,216 samples,CO2
1765378805.066,2025-12-10 16:00:05,/dev/ttyUSB0,4,measure,fMeasure_raw,73.60046,,216 samples,CO2
1765379105.266,2025-12-10 16:05:05,/dev/ttyUSB0,4,measure,fMeasure,54.70268,,243 samples,CO2
1765379105.266,2025-12-10 16:05:05,/dev/ttyUSB0,4,measure,fMeasure_raw,74.42542,,243 samples,CO2
1765379405.266,2025-12-10 16:10:05,/dev/ttyUSB0,4,measure,fMeasure,54.89733,,221 samples,CO2
1765379405.266,2025-12-10 16:10:05,/dev/ttyUSB0,4,measure,fMeasure_raw,74.69025,,221 samples,CO2
1765379705.267,2025-12-10 16:15:05,/dev/ttyUSB0,4,measure,fMeasure,54.14211,,196 samples,CO2
1765379705.267,2025-12-10 16:15:05,/dev/ttyUSB0,4,measure,fMeasure_raw,73.66274,,196 samples,CO2
1765380005.267,2025-12-10 16:20:05,/dev/ttyUSB0,4,measure,fMeasure,54.43871,,210 samples,CO2
1765380005.267,2025-12-10 16:20:05,/dev/ttyUSB0,4,measure,fMeasure_raw,74.06627,,210 samples,CO2
1765380305.467,2025-12-10 16:25:05,/dev/ttyUSB0,4,measure,fMeasure,54.30033,,194 samples,CO2
1765380305.467,2025-12-10 16:25:05,/dev/ttyUSB0,4,measure,fMeasure_raw,73.87800,,194 samples,CO2
1765380605.667,2025-12-10 16:30:05,/dev/ttyUSB0,4,measure,fMeasure,54.21300,,203 samples,CO2
1765380605.667,2025-12-10 16:30:05,/dev/ttyUSB0,4,measure,fMeasure_raw,73.75918,,203 samples,CO2
1765380905.868,2025-12-10 16:35:05,/dev/ttyUSB0,4,measure,fMeasure,54.32516,,222 samples,CO2
1765380905.868,2025-12-10 16:35:05,/dev/ttyUSB0,4,measure,fMeasure_raw,73.91178,,222 samples,CO2
1765381206.066,2025-12-10 16:40:06,/dev/ttyUSB0,4,measure,fMeasure,54.51318,,193 samples,CO2
1765381206.066,2025-12-10 16:40:06,/dev/ttyUSB0,4,measure,fMeasure_raw,74.16759,,193 samples,CO2
1765381506.067,2025-12-10 16:45:06,/dev/ttyUSB0,4,measure,fMeasure,54.39143,,219 samples,CO2
1765381506.067,2025-12-10 16:45:06,/dev/ttyUSB0,4,measure,fMeasure_raw,74.00195,,219 samples,CO2
1765381806.067,2025-12-10 16:50:06,/dev/ttyUSB0,4,measure,fMeasure,54.22482,,188 samples,CO2
1765381806.067,2025-12-10 16:50:06,/dev/ttyUSB0,4,measure,fMeasure_raw,73.77527,,188 samples,CO2
1765382106.267,2025-12-10 16:55:06,/dev/ttyUSB0,4,measure,fMeasure,54.02216,,222 samples,CO2
1765382106.267,2025-12-10 16:55:06,/dev/ttyUSB0,4,measure,fMeasure_raw,73.49953,,222 samples,CO2
1765382406.467,2025-12-10 17:00:06,/dev/ttyUSB0,4,measure,fMeasure,54.34688,,176 samples,CO2
1765382406.467,2025-12-10 17:00:06,/dev/ttyUSB0,4,measure,fMeasure_raw,73.94134,,176 samples,CO2
1765382706.467,2025-12-10 17:05:06,/dev/ttyUSB0,4,measure,fMeasure,54.09324,,221 samples,CO2
1765382706.467,2025-12-10 17:05:06,/dev/ttyUSB0,4,measure,fMeasure_raw,73.59625,,221 samples,CO2
1765383006.467,2025-12-10 17:10:06,/dev/ttyUSB0,4,measure,fMeasure,53.89788,,201 samples,CO2
1765383006.467,2025-12-10 17:10:06,/dev/ttyUSB0,4,measure,fMeasure_raw,73.33045,,201 samples,CO2
1765383306.469,2025-12-10 17:15:06,/dev/ttyUSB0,4,measure,fMeasure,54.42083,,209 samples,CO2
1765383306.469,2025-12-10 17:15:06,/dev/ttyUSB0,4,measure,fMeasure_raw,74.04194,,209 samples,CO2
1765383606.667,2025-12-10 17:20:06,/dev/ttyUSB0,4,measure,fMeasure,54.86434,,215 samples,CO2
1765383606.667,2025-12-10 17:20:06,/dev/ttyUSB0,4,measure,fMeasure_raw,74.64536,,215 samples,CO2
1765383906.867,2025-12-10 17:25:06,/dev/ttyUSB0,4,measure,fMeasure,54.31486,,199 samples,CO2
1765383906.867,2025-12-10 17:25:06,/dev/ttyUSB0,4,measure,fMeasure_raw,73.89777,,199 samples,CO2
1765384207.067,2025-12-10 17:30:07,/dev/ttyUSB0,4,measure,fMeasure,54.21815,,217 samples,CO2
1765384207.067,2025-12-10 17:30:07,/dev/ttyUSB0,4,measure,fMeasure_raw,73.76619,,217 samples,CO2
1765384507.268,2025-12-10 17:35:07,/dev/ttyUSB0,4,measure,fMeasure,54.39959,,239 samples,CO2
1765384507.268,2025-12-10 17:35:07,/dev/ttyUSB0,4,measure,fMeasure_raw,74.01305,,239 samples,CO2
1765384807.466,2025-12-10 17:40:07,/dev/ttyUSB0,4,measure,fMeasure,54.41406,,186 samples,CO2
1765384807.466,2025-12-10 17:40:07,/dev/ttyUSB0,4,measure,fMeasure_raw,74.03274,,186 samples,CO2
1765385107.467,2025-12-10 17:45:07,/dev/ttyUSB0,4,measure,fMeasure,54.43190,,188 samples,CO2
1765385107.467,2025-12-10 17:45:07,/dev/ttyUSB0,4,measure,fMeasure_raw,74.05700,,188 samples,CO2
1765385407.468,2025-12-10 17:50:07,/dev/ttyUSB0,4,measure,fMeasure,54.79143,,180 samples,CO2
1765385407.468,2025-12-10 17:50:07,/dev/ttyUSB0,4,measure,fMeasure_raw,74.54616,,180 samples,CO2
1765385707.468,2025-12-10 17:55:07,/dev/ttyUSB0,4,measure,fMeasure,54.67780,,207 samples,CO2
